TEAM,RA FGM,RA FGA,RA FG%,PAINT FGM,PAINT FGA,PAINT FG%,MIDRANGE FGM,MIDRANGE FGA,MIDRANGE FG%,LEFT CORNER FGM,LEFT CORNER FGA,LEFT CORNER FG%,RIGHT CORNER FGM,RIGHT CORNER FGA,RIGHT CORNER FG%,CORNER 3 FGM,CORNER 3 FGA,CORNER 3 FG%,ATB 3 FGM,ATB FGA,ATB FG%,YEAR,SEASON WIN PCT,PLAYOFFS
New Jersey Nets,1183,2025,58.4,344,894,38.5,980,2345,41.8,59,151,39.1,66,174,37.9,125,325,38.5,303,850,35.6,2001,0.317,0
New York Knicks,918,1575,58.3,322,869,37.1,884,2450,36.1,61,156,39.1,75,186,40.3,136,342,39.8,308,914,33.7,2001,0.585,1
Orlando Magic,1190,2017,59,326,881,37,948,2541,37.3,66,151,43.7,47,128,36.7,113,279,40.5,253,771,32.8,2001,0.524,1
Philadelphia 76ers,1087,1711,63.5,412,1229,33.5,947,2514,37.7,40,91,44,51,116,44,91,207,44,333,1020,32.6,2001,0.683,1
Phoenix Suns,1159,1965,59,331,1003,33,977,2520,38.8,50,122,41,30,100,30,80,222,36,244,702,34.8,2001,0.622,1
Portland Trail Blazers,1132,1931,58.6,361,941,38.4,922,2464,37.4,46,112,41.1,49,131,37.4,95,243,39.1,309,845,36.6,2001,0.61,1
Sacramento Kings,1133,1854,61.1,482,1311,36.8,1071,2840,37.7,57,156,36.5,62,175,35.4,119,331,36,282,790,35.7,2001,0.671,1
San Antonio Spurs,992,1821,54.5,400,1091,36.7,1102,2816,39.1,47,143,32.9,39,139,28.1,86,282,30.5,256,752,34,2001,0.707,1
Seattle SuperSonics,1251,2005,62.4,373,1043,35.8,982,2386,41.2,51,156,32.7,79,198,39.9,130,354,36.7,340,984,34.6,2001,0.537,0
Toronto Raptors,1195,2033,58.8,428,1039,41.2,1007,2609,38.6,58,153,37.9,42,108,38.9,100,261,38.3,279,772,36.1,2001,0.573,1
Utah Jazz,954,1607,59.4,363,910,39.9,945,2373,39.8,60,162,37,56,138,40.6,116,300,38.7,289,874,33.1,2001,0.646,1
Vancouver Grizzlies,1330,2045,65,407,1082,37.6,1017,2590,39.3,54,147,36.7,58,149,38.9,112,296,37.8,277,774,35.8,2001,0.28,0
Washington Wizards,1322,2022,65.4,401,1101,36.4,946,2382,39.7,65,166,39.2,57,144,39.6,122,310,39.4,308,776,39.7,2001,0.232,0
Atlanta Hawks,1304,2149,60.7,421,1147,36.7,1113,2750,40.5,55,142,38.7,47,112,42,102,254,40.2,270,757,35.7,2000,0.341,0
Boston Celtics,1285,2043,62.9,317,872,36.4,1001,2395,41.8,58,142,40.8,44,114,38.6,102,256,39.8,255,728,35,2000,0.427,0
Charlotte Hornets,1252,2177,57.5,381,963,39.6,1007,2592,38.9,47,129,36.4,63,143,44.1,110,272,40.4,297,801,37.1,2000,0.598,1
Chicago Bulls,1266,2120,59.7,337,798,42.2,957,2431,39.4,51,125,40.8,46,106,43.4,97,231,42,259,811,31.9,2000,0.207,0
Cleveland Cavaliers,1235,2017,61.2,311,871,35.7,1019,2621,38.9,48,143,33.6,62,166,37.3,110,309,35.6,308,907,34,2000,0.39,0
Dallas Mavericks,1381,2164,63.8,379,1072,35.4,1040,2581,40.3,54,155,34.8,57,147,38.8,111,302,36.8,314,925,33.9,2000,0.488,0
Denver Nuggets,1316,2135,61.6,416,1126,36.9,1000,2569,38.9,68,160,42.5,49,151,32.5,117,311,37.6,280,804,34.8,2000,0.427,0
Detroit Pistons,1202,1935,62.1,315,769,41,1144,2770,41.3,63,141,44.7,71,165,43,134,306,43.8,323,916,35.3,2000,0.512,1
Golden State Warriors,1430,2207,64.8,354,1038,34.1,957,2375,40.3,57,131,43.5,52,127,40.9,109,258,42.2,315,894,35.2,2000,0.232,0
Houston Rockets,1287,2137,60.2,450,1195,37.7,1141,2753,41.4,44,112,39.3,41,113,36.3,85,225,37.8,263,759,34.7,2000,0.415,0
Indiana Pacers,1232,1997,61.7,491,1322,37.1,1061,2658,39.9,25,110,22.7,39,111,35.1,64,221,29,265,780,34,2000,0.683,1
Los Angeles Clippers,1496,2271,65.9,505,1384,36.5,862,2148,40.1,58,114,50.9,54,122,44.3,112,236,47.5,306,835,36.6,2000,0.183,0
Los Angeles Lakers,1035,1755,59,393,1072,36.7,1038,2859,36.3,41,109,37.6,41,100,41,82,209,39.2,290,918,31.6,2000,0.817,1
Miami Heat,996,1849,53.9,404,1105,36.6,974,2511,38.8,54,122,44.3,43,102,42.2,97,224,43.3,310,897,34.6,2000,0.634,1
Milwaukee Bucks,1214,2042,59.5,305,785,38.9,983,2463,39.9,77,173,44.5,94,196,48,171,369,46.3,360,976,36.9,2000,0.512,1
Minnesota Timberwolves,1194,2011,59.4,385,1000,38.5,966,2500,38.6,43,114,37.7,38,123,30.9,81,237,34.2,298,815,36.6,2000,0.61,1
New Jersey Nets,1422,2300,61.8,342,937,36.5,994,2498,39.8,46,119,38.7,44,143,30.8,90,262,34.4,277,737,37.6,2000,0.378,0
New York Knicks,995,1712,58.1,309,850,36.4,1005,2647,38,49,137,35.8,64,165,38.8,113,302,37.4,289,881,32.8,2000,0.61,1
Orlando Magic,1262,2110,59.8,369,939,39.3,1016,2594,39.2,51,164,31.1,56,154,36.4,107,318,33.6,322,944,34.1,2000,0.5,0
Philadelphia 76ers,1137,1812,62.7,389,1165,33.4,924,2446,37.8,38,92,41.3,55,101,54.5,93,193,48.2,324,971,33.4,2000,0.598,1
Phoenix Suns,1134,1966,57.7,343,953,36,953,2623,36.3,51,124,41.1,56,149,37.6,107,273,39.2,288,841,34.2,2000,0.646,1
Portland Trail Blazers,1122,1950,57.5,312,863,36.2,996,2552,39,58,163,35.6,44,132,33.3,102,295,34.6,293,881,33.3,2000,0.72,1
Sacramento Kings,1180,1838,64.2,550,1373,40.1,1144,2906,39.4,65,160,40.6,61,148,41.2,126,308,40.9,268,802,33.4,2000,0.537,1
San Antonio Spurs,1067,1829,58.3,381,1073,35.5,1082,2850,38,52,154,33.8,63,156,40.4,115,310,37.1,239,716,33.4,2000,0.646,1
Seattle SuperSonics,1249,1986,62.9,405,1078,37.6,1040,2590,40.2,64,168,38.1,55,170,32.4,119,338,35.2,319,938,34,2000,0.549,1
Toronto Raptors,1273,2138,59.5,368,925,39.8,1016,2534,40.1,41,101,40.6,42,126,33.3,83,227,36.6,261,782,33.4,2000,0.549,1
Utah Jazz,965,1682,57.4,371,941,39.4,1067,2538,42,44,102,43.1,48,139,34.5,92,241,38.2,285,824,34.6,2000,0.671,1
Vancouver Grizzlies,1408,2145,65.6,383,1024,37.4,986,2365,41.7,49,139,35.3,35,122,28.7,84,261,32.2,275,811,33.9,2000,0.268,0
Washington Wizards,1249,1948,64.1,374,1019,36.7,992,2529,39.2,58,152,38.2,42,122,34.4,100,274,36.5,290,771,37.6,2000,0.354,0
Atlanta Hawks,571,1024,55.8,222,612,36.3,615,1600,38.4,18,62,29,17,57,29.8,35,119,29.4,155,512,30.3,1999,0.62,1
Boston Celtics,905,1471,61.5,156,531,29.4,490,1334,36.7,33,80,41.3,19,42,45.2,52,122,42.6,122,427,28.6,1999,0.38,0
Charlotte Hornets,751,1265,59.4,192,529,36.3,583,1571,37.1,18,59,30.5,25,56,44.6,43,115,37.4,170,520,32.7,1999,0.52,0
Chicago Bulls,784,1277,61.4,180,452,39.8,552,1448,38.1,30,64,46.9,17,54,31.5,47,118,39.8,159,488,32.6,1999,0.26,0
Cleveland Cavaliers,739,1211,61,153,487,31.4,469,1292,36.3,31,66,47,28,70,40,59,136,43.4,177,533,33.2,1999,0.44,0
Dallas Mavericks,792,1406,56.3,189,456,41.4,620,1487,41.7,30,72,41.7,23,65,35.4,53,137,38.7,160,546,29.3,1999,0.38,0
Denver Nuggets,850,1330,63.9,260,670,38.8,538,1377,39.1,35,80,43.8,33,82,40.2,68,162,42,169,469,36,1999,0.28,0
Detroit Pistons,618,1064,58.1,160,437,36.6,572,1457,39.3,34,76,44.7,16,80,20,50,156,32.1,184,521,35.3,1999,0.58,1
Golden State Warriors,680,1118,60.8,286,800,35.8,458,1354,33.8,21,56,37.5,27,67,40.3,48,123,39,145,451,32.2,1999,0.42,0
Houston Rockets,666,1139,58.5,273,704,38.8,627,1653,37.9,24,64,37.5,29,73,39.7,53,137,38.7,174,499,34.9,1999,0.62,1
Indiana Pacers,614,1066,57.6,237,643,36.9,650,1594,40.8,33,74,44.6,17,59,28.8,50,133,37.6,155,494,31.4,1999,0.66,1
Los Angeles Clippers,868,1354,64.1,296,772,38.3,445,1107,40.2,36,87,41.4,29,63,46,65,150,43.3,156,473,33,1999,0.18,0
Los Angeles Lakers,712,1139,62.5,251,715,35.1,580,1484,39.1,21,57,36.8,21,54,38.9,42,111,37.8,174,538,32.3,1999,0.62,1
Miami Heat,555,1084,51.2,238,667,35.7,561,1448,38.7,28,77,36.4,25,65,38.5,53,142,37.3,158,461,34.3,1999,0.66,1
Milwaukee Bucks,693,1213,57.1,143,397,36,493,1323,37.3,41,104,39.4,34,119,28.6,75,223,33.6,196,586,33.4,1999,0.56,1
Minnesota Timberwolves,713,1224,58.3,189,514,36.8,566,1432,39.5,24,71,33.8,27,73,37,51,144,35.4,161,501,32.1,1999,0.5,1
New Jersey Nets,869,1486,58.5,195,563,34.6,510,1269,40.2,26,60,43.3,29,84,34.5,55,144,38.2,166,498,33.3,1999,0.32,0
New York Knicks,523,1017,51.4,189,552,34.2,582,1562,37.3,35,81,43.2,29,73,39.7,64,154,41.6,170,496,34.3,1999,0.54,1
Orlando Magic,763,1241,61.5,217,602,36,498,1346,37,25,81,30.9,38,72,52.8,63,153,41.2,167,509,32.8,1999,0.66,1
Philadelphia 76ers,635,1019,62.3,190,585,32.5,534,1468,36.4,21,57,36.8,19,58,32.8,40,115,34.8,200,593,33.7,1999,0.56,1
Phoenix Suns,738,1201,61.4,212,558,38,550,1424,38.6,36,88,40.9,29,76,38.2,65,164,39.6,207,586,35.3,1999,0.54,1
Portland Trail Blazers,703,1276,55.1,172,514,33.5,550,1461,37.6,28,94,29.8,21,73,28.8,49,167,29.3,170,515,33,1999,0.7,1
Sacramento Kings,795,1263,62.9,351,872,40.3,644,1713,37.6,23,71,32.4,26,77,33.8,49,148,33.1,170,498,34.1,1999,0.54,1
San Antonio Spurs,627,1191,52.6,238,699,34,596,1612,37,26,75,34.7,23,73,31.5,49,148,33.1,121,408,29.7,1999,0.74,1
Seattle SuperSonics,809,1258,64.3,242,631,38.4,525,1375,38.2,27,80,33.8,27,79,34.2,54,159,34,208,598,34.8,1999,0.5,0
Toronto Raptors,670,1155,58,174,476,36.6,596,1539,38.7,28,73,38.4,21,65,32.3,49,138,35.5,205,542,37.8,1999,0.46,0
Utah Jazz,630,1113,56.6,240,636,37.7,514,1453,35.4,17,65,26.2,29,64,45.3,46,129,35.7,165,525,31.4,1999,0.74,1
Vancouver Grizzlies,870,1307,66.6,219,619,35.4,496,1339,37,28,67,41.8,29,65,44.6,57,132,43.2,171,517,33.1,1999,0.16,0
Washington Wizards,750,1190,63,173,515,33.6,566,1506,37.6,35,78,44.9,24,73,32.9,59,151,39.1,157,461,34.1,1999,0.36,0
Atlanta Hawks,1210,2095,57.8,357,978,36.5,1047,2606,40.2,34,109,31.2,29,99,29.3,63,208,30.3,283,805,35.2,1998,0.61,1
Boston Celtics,1667,2557,65.2,253,743,34.1,646,1740,37.1,24,84,28.6,27,71,38,51,155,32.9,246,772,31.9,1998,0.439,0
Charlotte Hornets,1313,2094,62.7,363,919,39.5,934,2347,39.8,32,83,38.6,30,81,37,62,164,37.8,305,885,34.5,1998,0.622,1
Chicago Bulls,1277,2166,59,257,672,38.2,936,2630,35.6,39,107,36.4,17,64,26.6,56,171,32.7,271,834,32.5,1998,0.756,1
Cleveland Cavaliers,1216,2051,59.3,277,954,29,855,2220,38.5,26,78,33.3,29,70,41.4,55,148,37.2,286,830,34.5,1998,0.573,1
Dallas Mavericks,1471,2436,60.4,333,829,40.2,955,2437,39.2,29,79,36.7,34,82,41.5,63,161,39.1,316,951,33.2,1998,0.244,0
Denver Nuggets,1381,2139,64.6,290,749,38.7,925,2380,38.9,51,134,38.1,51,102,50,102,236,43.2,317,855,37.1,1998,0.134,0
Detroit Pistons,1074,1837,58.5,333,809,41.2,1078,2646,40.7,32,114,28.1,37,98,37.8,69,212,32.5,285,862,33.1,1998,0.451,0
Golden State Warriors,1325,2099,63.1,357,1172,30.5,977,2510,38.9,39,94,41.5,38,88,43.2,77,182,42.3,256,769,33.3,1998,0.232,0
Houston Rockets,1293,2065,62.6,411,1014,40.5,1071,2611,41,36,85,42.4,38,104,36.5,74,189,39.2,324,880,36.8,1998,0.5,1
Indiana Pacers,1135,1920,59.1,390,1089,35.8,988,2573,38.4,32,84,38.1,25,60,41.7,57,144,39.6,218,715,30.5,1998,0.707,1
Los Angeles Clippers,1505,2442,61.6,460,1199,38.4,940,2275,41.3,35,91,38.5,30,80,37.5,65,171,38,266,741,35.9,1998,0.207,0
Los Angeles Lakers,1255,2091,60,401,1147,35,950,2495,38.1,33,86,38.4,35,91,38.5,68,177,38.4,307,877,35,1998,0.744,1
Miami Heat,1111,1955,56.8,399,1103,36.2,909,2378,38.2,22,79,27.8,37,104,35.6,59,183,32.2,244,724,33.7,1998,0.671,1
Milwaukee Bucks,1413,2273,62.2,356,893,39.9,840,2228,37.7,30,99,30.3,31,84,36.9,61,183,33.3,241,734,32.8,1998,0.439,0
Minnesota Timberwolves,1386,2340,59.2,343,893,38.4,924,2436,37.9,48,139,34.5,50,133,37.6,98,272,36,325,911,35.7,1998,0.549,1
New Jersey Nets,1565,2508,62.4,271,733,37,827,2138,38.7,39,107,36.4,38,102,37.3,77,209,36.8,276,808,34.2,1998,0.524,1
New York Knicks,1058,1755,60.3,273,778,35.1,965,2557,37.7,34,91,37.4,25,82,30.5,59,173,34.1,267,858,31.1,1998,0.524,1
Orlando Magic,1331,2302,57.8,349,872,40,941,2332,40.4,37,100,37,28,75,37.3,65,175,37.1,244,769,31.7,1998,0.5,0
Philadelphia 76ers,1242,2043,60.8,315,906,34.8,968,2382,40.6,47,98,48,37,94,39.4,84,192,43.8,297,914,32.5,1998,0.378,0
Phoenix Suns,1294,2179,59.4,339,958,35.4,903,2415,37.4,40,90,44.4,20,73,27.4,60,163,36.8,326,894,36.5,1998,0.683,1
Portland Trail Blazers,1177,2116,55.6,306,836,36.6,976,2555,38.2,25,102,24.5,39,99,39.4,64,201,31.8,287,809,35.5,1998,0.561,1
Sacramento Kings,1397,2284,61.2,422,1097,38.5,932,2428,38.4,45,105,42.9,35,95,36.8,80,200,40,264,754,35,1998,0.329,0
San Antonio Spurs,1022,1973,51.8,358,1006,35.6,1024,2660,38.5,35,91,38.5,33,104,31.7,68,195,34.9,265,819,32.4,1998,0.683,1
Seattle SuperSonics,1302,2186,59.6,294,775,37.9,887,2261,39.2,44,132,33.3,43,122,35.2,87,254,34.3,326,1010,32.3,1998,0.744,1
Toronto Raptors,1675,2744,61,309,824,37.5,891,2224,40.1,44,98,44.9,58,122,47.5,102,220,46.4,293,805,36.4,1998,0.195,0
Utah Jazz,1110,1925,57.7,337,884,38.1,964,2477,38.9,46,95,48.4,34,91,37.4,80,186,43,314,902,34.8,1998,0.756,1
Vancouver Grizzlies,1378,2156,63.9,384,960,40,1044,2580,40.5,35,97,36.1,40,103,38.8,75,200,37.5,349,900,38.8,1998,0.232,0
Washington Wizards,1431,2389,59.9,325,866,37.5,878,2322,37.8,40,127,31.5,50,115,43.5,90,242,37.2,251,719,34.9,1998,0.512,0
Atlanta Hawks,1194,2356,50.7,309,705,43.8,1024,2555,40.1,46,107,43,51,111,45.9,97,218,44.5,179,610,29.3,1997,0.683,1
Boston Celtics,1867,3498,53.4,295,519,56.8,887,1831,48.4,59,124,47.6,49,136,36,108,260,41.5,208,583,35.7,1997,0.183,0
Charlotte Hornets,1431,3269,43.8,314,589,53.3,1099,2233,49.2,27,70,38.6,32,75,42.7,59,145,40.7,151,410,36.8,1997,0.659,1
Chicago Bulls,1215,2386,50.9,365,721,50.6,1101,2813,39.1,35,102,34.3,27,63,42.9,62,165,37.6,155,564,27.5,1997,0.841,1
Cleveland Cavaliers,1074,1870,57.4,287,779,36.8,951,2497,38.1,31,85,36.5,30,74,40.5,61,159,38.4,115,328,35.1,1997,0.512,0
Dallas Mavericks,1261,2167,58.2,341,832,41,1154,2880,40.1,32,78,41,30,66,45.5,62,144,43.1,146,432,33.8,1997,0.293,0
Denver Nuggets,1458,2674,54.5,405,902,44.9,1152,2807,41,47,108,43.5,39,88,44.3,86,196,43.9,196,477,41.1,1997,0.256,0
Detroit Pistons,1036,1915,54.1,284,677,41.9,1097,2665,41.2,54,116,46.6,57,146,39,111,262,42.4,240,706,34,1997,0.659,1
Golden State Warriors,1421,2307,61.6,361,813,44.4,1151,2876,40,48,126,38.1,56,125,44.8,104,251,41.4,161,481,33.5,1997,0.366,0
Houston Rockets,1237,2257,54.8,389,899,43.3,1190,3060,38.9,41,101,40.6,37,94,39.4,78,195,40,136,427,31.9,1997,0.695,1
Indiana Pacers,1171,2185,53.6,263,681,38.6,1119,2733,40.9,46,131,35.1,35,104,33.7,81,235,34.5,165,518,31.9,1997,0.476,0
Los Angeles Clippers,1466,2626,55.8,352,761,46.3,951,2427,39.2,28,82,34.1,20,56,35.7,48,138,34.8,158,487,32.4,1997,0.439,1
Los Angeles Lakers,1302,2447,53.2,358,887,40.4,977,2483,39.3,35,102,34.3,37,85,43.5,72,187,38.5,213,613,34.7,1997,0.683,1
Miami Heat,1126,2120,53.1,418,1156,36.2,947,2411,39.3,35,84,41.7,28,83,33.7,63,167,37.7,132,362,36.5,1997,0.744,1
Milwaukee Bucks,1482,2476,59.9,339,840,40.4,913,2261,40.4,38,100,38,44,105,41.9,82,205,40,183,564,32.4,1997,0.402,0
Minnesota Timberwolves,1359,2534,53.6,373,832,44.8,1020,2604,39.2,44,115,38.3,44,103,42.7,88,218,40.4,105,345,30.4,1997,0.488,1
New Jersey Nets,1484,2634,56.3,290,709,40.9,1010,2488,40.6,38,104,36.5,39,102,38.2,77,206,37.4,239,643,37.2,1997,0.317,0
New York Knicks,1102,2110,52.2,283,656,43.1,1057,2761,38.3,39,99,39.4,24,82,29.3,63,181,34.8,159,551,28.9,1997,0.695,1
Orlando Magic,1433,2486,57.6,346,842,41.1,1007,2556,39.4,54,137,39.4,40,110,36.4,94,247,38.1,86,310,27.7,1997,0.549,1
Philadelphia 76ers,1653,2995,55.2,320,685,46.7,972,2312,42,39,77,50.6,52,105,49.5,91,182,50,277,862,32.1,1997,0.268,0
Phoenix Suns,1380,2328,59.3,397,916,43.3,1241,3066,40.5,36,102,35.3,28,87,32.2,64,189,33.9,101,311,32.5,1997,0.488,1
Portland Trail Blazers,1230,2357,52.2,367,903,40.6,1013,2671,37.9,45,104,43.3,28,68,41.2,73,172,42.4,115,317,36.3,1997,0.598,1
Sacramento Kings,1291,2187,59,414,961,43.1,1130,2779,40.7,36,89,40.4,23,60,38.3,59,149,39.6,116,439,26.4,1997,0.415,0
San Antonio Spurs,1407,2501,56.3,264,592,44.6,1102,2681,41.1,43,98,43.9,25,60,41.7,68,158,43,161,440,36.6,1997,0.244,0
Seattle SuperSonics,1140,2176,52.4,270,633,42.7,996,2631,37.9,53,131,40.5,53,116,45.7,106,247,42.9,244,556,43.9,1997,0.695,1
Toronto Raptors,1452,2486,58.4,321,758,42.3,990,2531,39.1,45,116,38.8,42,106,39.6,87,222,39.2,121,380,31.8,1997,0.366,0
Utah Jazz,1080,2052,52.6,341,708,48.2,1067,2756,38.7,42,116,36.2,39,81,48.1,81,197,41.1,139,468,29.7,1997,0.78,1
Vancouver Grizzlies,1567,2720,57.6,327,689,47.5,947,2399,39.5,47,130,36.2,30,85,35.3,77,215,35.8,174,523,33.3,1997,0.171,0
Washington Bullets,1325,2458,53.9,312,731,42.7,1043,2529,41.2,51,134,38.1,40,113,35.4,91,247,36.8,240,669,35.9,1997,0.537,1
